JDtimes,synthetic fluxes
27.337678000000324,1.0
27.358109000000237,1.0
27.378541000000038,1.0
27.398973000000296,1.0
27.41940400000021,1.0
27.43983600000001,1.0
27.460268000000273,1.0
27.480699000000186,1.0
27.50113099999999,1.0
27.521561999999903,1.0
27.541994000000162,0.9874866557081132
27.562425999999963,0.9550108059746804
27.58285699999988,0.9125300717550696
27.603289000000128,0.8599989088925647
27.62372099999993,0.7849475825284898
27.644152000000304,0.6774059575249298
27.664584000000104,0.5574307256340763
27.685015999999905,0.5399399920149804
27.70544700000028,0.545052409986406
27.725879000000077,0.5475735624368274
27.74631099999988,0.5550270434133674
27.76674200000025,0.6625068781818807
27.787174000000054,0.7799724759392741
27.807606000000305,0.8574820976671707
27.82803700000023,0.9100012348090883
27.848469000000023,0.947514034339257
27.86890100000028,0.9800133337134272
27.889332000000195,1.0
27.909764,0.9974994523797729
27.930196000000247,0.9700030744116417
27.95062700000017,0.9400318291906015
27.97105899999997,0.8950161625035634
27.991491000000227,0.8274680483567327
28.011922000000137,0.7224148219571923
28.03235399999994,0.6049327763319879
28.0527860000002,0.542462296722428
28.073217000000113,0.5525338657407968
