JDtimes,synthetic fluxes
26.213936000000103,0.5501429371608575,0.000208
26.234367999999904,0.5451220620639808,0.000208
26.254799000000283,0.5800528706042828,0.000208
26.275231000000076,0.6950283893958533,0.000208
26.29566299999988,0.7999826113220797,0.000208
26.31609400000025,0.8724703625762742,0.000208
26.336526000000053,0.9174776974393122,0.000208
26.356956999999966,0.957492959210562,0.000208
26.377389000000218,0.9874986911229586,0.000208
26.397821000000018,1.0,0.000208
26.418251999999942,1.0,0.000208
26.438684000000194,1.0,0.000208
26.459115999999995,1.0,0.000208
26.479548000000246,1.0,0.000208
26.49997900000017,1.0,0.000208
26.520410999999967,1.0,0.000208
26.54084300000023,1.0,0.000208
26.56127400000014,1.0,0.000208
26.581705999999944,1.0,0.000208
26.602138000000195,1.0,0.000208
26.62256900000011,1.0,0.000208
26.643000999999913,1.0,0.000208
26.663433000000172,1.0,0.000208
26.683864000000085,1.0,0.000208
26.70429599999989,1.0,0.000208
26.724728000000137,1.0,0.000208
26.74515900000005,1.0,0.000208
26.765591000000313,1.0,0.000208
26.786023000000114,0.9950049579678976,0.000208
26.806454000000034,0.9625179170062931,0.000208
26.82688600000029,0.925000996950066,0.000208
26.84731800000009,0.8724780618371571,0.000208
26.867749000000003,0.8049571063364332,0.000208
26.888181000000262,0.699949693066698,0.000208
26.908613000000056,0.5774528504852414,0.000208
26.929043999999976,0.5299937656800066,0.000208
26.949476000000228,0.5551216678505978,0.000208
26.969908000000032,0.5326453215940323,0.000208
